YEAR,ID,HRS1,MARITAL,DIVORCE,SPWRKSTA,SPHRS1,CHILDS,AGE,EDUC,SPEDUC,SEX,RACE,RES16,REG16,RINCOME,REGION,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,ROMANCE,LIVEWITH,HAPPROM,WILLWED1,WILLWED2,SPHMEWRK,FAIRHWRK,EARNMORE,FAMFINAN,EARNMORE,TRADMOD,SHARESEP,EMOTEOTH,CHLDIDEL,PREMARSX,MENBEN,WOMENBEN,CHLDBEN,ALLBEN,NOONEBEN,PARTNERS,MATESEX
1996,45,,5,,,,0,20,10,97,1,1,6,2,,2,2,2,1,4,,,,,,,,,,,,,,8,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,47,,5,,,,3,29,7,97,2,3,6,2,99,2,2,,,,,,,,,,,,,,,,,,,,,,,,7,2
1996,48,46,5,,,,0,27,9,97,1,1,3,0,8,2,3,5,2,4,,,,,,,,,,,,,,8,4,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,51,40,5,,,,0,25,13,97,2,1,6,2,10,2,1,,,,2,,,,2,,,,,,1,1,1,,,8,8,8,8,8,,
1996,52,,1,2,1,60,1,32,18,16,2,1,6,0,,2,3,,,,,,,,,,,,3,,,,,,,,,,,,1,1
1996,53,40,1,2,1,40,2,51,12,8,1,1,5,0,13,2,5,2,3,7,,,,,,,,,2,,,,,2,2,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,55,88,5,,,,0,47,20,97,2,1,3,0,12,2,7,4,5,7,2,,,,2,,,,,,1,1,1,5,1,2,2,1,2,2,0,
1996,56,45,5,,,,0,26,16,97,1,1,5,2,12,2,2,7,2,2,1,2,2,2,,,,,,,2,2,2,3,4,2,2,2,1,2,3,1
1996,57,30,5,,,,0,53,16,97,1,1,6,2,11,2,3,,,,2,,,,1,,,,,,2,1,2,,,1,2,2,2,2,0,
1996,58,26,5,,,,0,37,12,97,1,1,3,3,10,2,0,2,5,5,,,,,,,,,,,,,,3,4,,,,,,0,
1996,59,65,5,,,,0,42,13,97,1,1,1,3,12,2,5,1,3,5,,,,,,,,,,,,,,2,4,,,,,,3,1
1996,60,32,5,,,,0,31,11,97,1,3,6,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,1
1996,61,20,1,2,7,,3,39,12,14,1,1,6,0,13,2,0,5,3,7,,,,,,,,,4,,,,,3,3,,,,,,1,1
1996,62,50,5,,,,0,29,17,97,2,3,6,0,,2,1,,,,1,1,1,1,,1,1,4,,4,1,1,2,,,2,2,2,1,2,3,1
1996,63,45,1,2,7,,3,33,12,14,1,1,6,2,12,2,2,,,,,,,,,3,1,1,,1,2,1,1,,,2,2,2,1,2,1,1
1996,64,20,1,2,1,40,1,32,12,9,2,1,6,0,13,2,3,7,5,6,,,,,,,,,4,,,,,4,3,,,,,,1,1
1996,65,40,3,,,,2,49,16,97,1,3,6,0,12,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,67,40,5,,,,0,29,14,97,1,1,6,2,13,2,6,1,1,2,1,2,1,3,,,,,,,2,1,2,9,4,2,1,2,2,2,7,1
1996,68,,2,2,,,3,73,6,97,2,1,3,0,,2,1,4,4,7,2,,,,2,,,,,,1,1,2,8,3,2,2,2,1,2,0,
1996,69,,1,2,5,,2,99,12,20,2,1,6,2,99,2,0,3,3,7,,,,,,5,2,5,,5,1,1,1,8,3,1,1,1,1,2,0,
1996,70,,2,2,,,3,80,12,97,2,1,6,2,99,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
1996,71,46,4,,,,2,42,8,97,2,1,6,2,11,2,1,2,2,7,2,,,,1,,,,,,2,1,2,3,4,2,1,1,2,2,0,
1996,72,40,5,,,,0,35,16,97,1,3,6,2,12,2,5,,,,2,,,,2,,,,,,2,1,1,,,2,2,1,2,2,3,1
1996,73,,1,2,5,,2,81,10,12,2,1,3,0,,2,1,7,7,7,,,,,,,,,1,,,,,8,2,,,,,,0,
1996,74,35,5,,,,1,42,15,97,2,3,6,2,12,2,0,,,,1,2,1,3,,,,,,,2,2,2,,,1,9,9,9,9,1,1
1996,75,,5,,,,1,51,10,97,2,2,5,2,10,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,77,35,3,,,,1,43,18,97,2,2,6,2,12,2,0,2,2,2,,,,,,,,,,,,,,3,4,,,,,,1,1
1996,78,35,1,2,1,40,1,28,15,16,1,2,6,2,12,2,1,7,3,5,,,,,,4,2,1,,1,1,1,1,2,1,9,9,9,1,9,1,1
1996,79,15,5,,,,0,19,10,97,1,2,6,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,4,2
1996,80,35,5,,,,0,31,12,97,2,3,4,2,9,2,1,7,4,5,,,,,,,,,,,,,,4,4,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,82,41,5,,,,2,26,13,97,2,2,6,2,12,2,0,1,5,6,,,,,,,,,,,,,,2,4,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,84,55,1,2,1,40,1,29,12,12,2,1,3,1,12,1,2,3,2,4,,,,,,3,1,4,,4,2,1,2,2,4,2,2,2,1,2,1,1
1996,85,53,1,1,1,55,4,32,12,16,2,1,1,1,,1,5,6,6,7,,,,,,,,,1,,,,,9,4,,,,,,1,1
1996,86,,1,1,1,60,3,34,16,16,2,1,4,3,,1,5,4,3,6,,,,,,5,1,5,,5,1,1,1,3,3,9,9,9,1,9,1,1
1996,87,40,1,2,1,35,3,59,16,12,1,1,5,1,12,1,1,5,5,7,,,,,,,,,6,,,,,2,1,,,,,,,
1996,88,55,3,,,,1,38,16,97,2,1,5,2,12,1,6,,,,,,,,,,,,,,,,,,,,,,,,0,
1996,89,50,1,2,1,34,1,37,16,18,1,1,5,1,12,1,6,2,4,5,,,,,,3,3,1,,1,2,2,2,4,4,2,2,2,2,1,1,1
1996,90,50,1,2,1,36,2,34,20,20,1,1,5,1,99,1,1,5,4,4,,,,,,,,,1,,,,,2,2,,,,,,1,1
1996,91,,5,,,,0,18,11,97,2,1,5,1,,1,4,7,2,7,2,,,,1,,,,,,2,2,1,2,3,2,2,1,2,2,,
1996,92,30,1,2,2,15,3,61,16,16,1,3,6,0,12,2,0,7,5,7,,,,,,,,,2,,,,,2,3,,,,,,1,1
1996,93,10,5,,,,0,23,16,97,2,3,3,2,4,2,3,4,3,5,,,,,,,,,,,,,,2,2,,,,,,1,1
1996,94,60,1,2,7,,2,51,13,12,1,1,6,2,12,2,3,,,,,,,,,,,,1,,,,,,,,,,,,1,1
1996,95,,4,,,,0,38,16,97,2,1,5,2,,2,0,1,2,2,1,2,2,1,,,,,,,2,2,2,2,4,2,2,2,1,2,0,
1996,96,,1,2,7,,3,80,15,12,1,1,5,2,,2,6,4,4,7,,,,,,,,,2,,,,,8,2,,,,,,,
1996,97,40,3,,,,2,47,12,97,1,3,6,2,13,2,0,,,,,,,,,,,,,,,,,,,,,,,,1,9
